,,A,B,C,D,E,F,G,GDP
1,2008,1.79,6.46,2.73,94.4,651428,88.1,1094,12592
1,2009,1.85,9.19,3.05,95.3,660008,89.9,1114,12697
1,2010,1.88,11.81,2.96,95.7,687022,90.6,1145,13592
1,2011,1.95,11.72,3.17,96.4,720851,91.3,1159,14303
1,2012,1.99,12.87,3.36,96.9,751108,92.7,1176,14773
1,2013,2.06,13.37,3.61,97.5,773216,93.4,1187,15384
1,2014,2.09,14.22,3.89,97.6,810260,93.7,1195,16131
1,2015,2.13,14.65,3.93,97.9,827983,94,1213,17130
2,2008,2.08,11.8,9.28,85.5,117150,76.4,361,11194
2,2009,2.14,15.2,10.77,86.1,117569,77,353,11908
2,2010,2.18,17.45,10.65,86.5,118266,81.3,353,12499
2,2011,2.17,19.2,10.41,87.5,121273,83.1,353,12775
2,2012,2.2,20.28,10.85,87.9,125192,84.1,352,13304
2,2013,2.25,23.86,11.8,88.6,129403,85,351,13600
2,2014,2.3,25.58,12.82,88.8,133314,85.6,351,14454
2,2015,2.35,26.52,13.29,89.6,133517,86,351,15142
3,2008,1.81,14.35,5.73,83.7,101861,77,256,11845
3,2009,1.89,17.15,6.87,85.1,102969,77.9,258,12287
3,2010,1.91,20.2,6.78,86,105756,79.6,259,13122
3,2011,1.95,21.5,6.72,86.8,109256,83,260,13341
3,2012,1.97,22.48,7.09,87.6,112650,84.7,259,14061
3,2013,2.04,22.7,7.57,88.9,115611,84.9,259,14456
3,2014,2.09,23.05,7.98,90.2,119499,85.5,259,14761
3,2015,2.16,23.55,7.95,90.2,121493,86.2,260,15658
4,2008,1.88,9.66,5.8,69.4,131549,61.8,430,11564
4,2009,1.93,11.14,6.67,71.4,131555,63.5,432,11870
4,2010,1.94,16.19,6.55,74.1,134317,64.7,430,13299
4,2011,1.97,15.61,6.38,76,140507,68.5,430,13472
4,2012,2.03,16.36,6.51,79,141212,70.3,427,14239
4,2013,2.07,17.19,7.18,81.2,145998,71.6,406,15122
4,2014,2.13,18.81,7.23,82.7,154038,72.7,405,15727
4,2015,2.15,19.3,7.41,84.4,158308,74.3,405,16303
5,2008,1.62,8.12,6.02,82.3,183408,61.8,497,11764
5,2009,1.69,10.41,6.52,83.5,184153,63.5,496,12212
5,2010,1.72,13.05,6.47,84.9,186693,64.7,494,12883
5,2011,1.76,13.71,6.45,85.7,193364,68.5,491,13395
5,2012,1.8,14.82,6.67,87.2,199547,70.3,484,13966
5,2013,1.87,15.6,6.82,88.5,205734,71.6,477,14435
5,2014,1.93,16.59,7.15,89.4,213813,72.7,478,14901
5,2015,1.93,17.8,7.25,90.2,218796,74.3,476,15462
6,2008,1.76,6.14,4.15,85.9,218683,81.9,498,12412
6,2009,1.86,7.32,4.98,87.2,221507,82.7,495,12699
6,2010,1.9,8.97,4.92,88.8,224641,83.6,495,13431
6,2011,1.95,9.28,4.56,89.7,230795,85.3,495,14016
6,2012,2,7.32,4.82,90.4,242123,85.7,491,14201
6,2013,2.05,9.69,5.28,91.7,248913,86.9,493,14876
6,2014,2.13,9.88,5.58,92.4,258713,88.1,493,15575
6,2015,2.16,9.75,5.65,93.1,262950,88.6,498,16293
7,2008,2.29,13.36,5.66,87.7,119821,77.7,420,11666
7,2009,2.41,14.29,6.42,89.5,122658,79.3,417,12225
7,2010,2.43,17.18,6.37,91,124705,80.8,413,12828
7,2011,2.45,16.06,5.98,92.1,128740,82.3,414,13542
7,2012,2.49,16.71,6.25,92.7,135999,83,413,13711
7,2013,2.62,17.35,7.15,93.8,139656,84.1,414,14447
7,2014,2.68,17.85,7.91,95,144902,85.1,414,14994
7,2015,2.78,17.54,7.97,95.6,146654,85.9,415,15849
8,2008,1.86,10.73,6.41,70.3,124286,66.1,453,11148
8,2009,1.96,12.75,7.53,73.7,124750,68.3,437,11664
8,2010,2,16.89,7.51,76.1,125395,70.9,433,12429
8,2011,2.05,18.02,7.78,77.7,128465,72.3,429,12675
8,2012,2.11,18.54,8.48,80,132892,72.9,427,13018
8,2013,2.2,20.66,9.07,82.9,136889,73.7,426,13484
8,2014,2.23,22.09,9.39,84.7,142932,75.1,424,13829
8,2015,2.27,22.94,9.48,86.6,147198,76.1,426,14703
