행정구역별,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016
행정구역별,조율,표준화율,조율,표준화율,조율,표준화율,조율,표준화율,조율,표준화율,조율,표준화율,조율,표준화율,조율,표준화율,조율,표준화율
강원도,25.8,25.2,27.1,26.4,27,26,27.6,26.5,27.7,26.7,27.8,27.2,28.5,27.6,30.2,29.7,31.6,30.9
춘천시,25.1,24.4,28.2,27.9,25.4,24.3,28.3,27,26.6,25.8,27.1,26.3,28,27.5,29.8,29.4,31.4,30.4
원주시,25,24.7,26.7,26,26.9,26.3,29.2,28.1,29.2,28.6,26,26.2,27.5,27.2,30.9,30.3,29.9,29.3
강릉시,23.2,22.8,27.1,26.5,24.3,23.6,25.4,24.6,25.7,23.5,29.3,28.5,28.2,27,29.2,29.1,32.5,31.6
동해시,26,25.1,27.3,26,30.3,29.4,27.7,26.4,29.6,28.7,27.6,26.2,30.2,29.4,31.5,30.9,30.4,28.9
태백시,28.3,27.1,25.5,24.5,29.3,27.8,26.1,24.7,29,28.4,27,25.5,27,25.5,28.9,27.4,28.9,29.5
속초시,23.8,23.6,27.3,26.3,29.2,28.5,24.4,23.8,24.6,24.1,27.1,26.7,28.1,27.3,30,29.6,32.3,31.2
삼척시,24.2,23,25.6,24.8,27.1,26.6,29.3,29.8,28.9,27.6,26.8,26.2,29.6,27.5,33,32.2,33.1,32.6
,,,,,,,,,,,,,,,,,,
,2008,2009,2010,2011,2012,2013,2014,2015,,,강원도,춘천시,원주시,강릉시,동해시,태백시,속초시,삼척시
강원도,25.8,27.1,27,27.6,27.7,27.8,28.5,30.2,,2008,25.8,25.1,25,23.2,26,28.3,23.8,24.2
춘천시,25.1,28.2,25.4,28.3,26.6,27.1,28,29.8,,2009,27.1,28.2,26.7,27.1,27.3,25.5,27.3,25.6
원주시,25,26.7,26.9,29.2,29.2,26,27.5,30.9,,2010,27,25.4,26.9,24.3,30.3,29.3,29.2,27.1
강릉시,23.2,27.1,24.3,25.4,25.7,29.3,28.2,29.2,,2011,27.6,28.3,29.2,25.4,27.7,26.1,24.4,29.3
동해시,26,27.3,30.3,27.7,29.6,27.6,30.2,31.5,,2012,27.7,26.6,29.2,25.7,29.6,29,24.6,28.9
태백시,28.3,25.5,29.3,26.1,29,27,27,28.9,,2013,27.8,27.1,26,29.3,27.6,27,27.1,26.8
속초시,23.8,27.3,29.2,24.4,24.6,27.1,28.1,30,,2014,28.5,28,27.5,28.2,30.2,27,28.1,29.6
삼척시,24.2,25.6,27.1,29.3,28.9,26.8,29.6,33,,2015,30.2,29.8,30.9,29.2,31.5,28.9,30,33
