대전광역시,2008,2009,2010,2011,2012,2013,2014,2015,2016,비고
인구증가율,0.48,0.25,1.33,0.8,0.56,0.55,-0.01,-0.79,-0.25,%
주민등록인구,1480895,1484180,1503664,1515603,1524583,1532811,1531809,1518775,1514370,
도로포장률,,,,,,100,100,100,100,%
상수도보급률,99.4,99.5,99.6,99.7,99.7,99.8,99.9,99.9,,%
하수도보급률,97.1,97.1,97.3,97.4,97.4,97.4,97.4,97.4,,%
사업체수,92548,93176,95650,100474,104609,105676,109535,111815,113228,
재정자립도,66.4,59.3,56.3,57.2,58.3,57.5,54.9,54.9,55,%
문화기반시설수,2.9,3.37,3.33,3.3,3.35,3.46,3.53,3.69,3.76,십만명 당
사회복지시설수,6.14,7.41,9.24,9.57,10.1,9.92,10.71,11.06,,십만명 당
의료기관종사 의사수,2.63,2.74,2.78,2.84,2.96,3.02,3.11,3.21,3.28,천명 당
사설학원수,1.44,1.49,1.48,1.43,1.42,1.41,1.36,1.46,1.48,천명 당
유치원수,237,237,237,239,252,260,265,268,269,
초등학교수,137,138,138,141,143,143,143,146,146,
1인당 연간 소득,16.01,16.93,18.24,19.42,20.05,20.36,21.12,22.08,23.4,백만원
비만율,20,20.7,20.1,21.6,22.3,21.9,24.4,25.9,24.8,%
